Kanji,Heisig Keyword,English Meaning,stroke count,Heisig RTK Index,RTK2 Index,2k1KO Index,Opt Vocab Sort Index,Kanji Learner Course Index,KanKen (Jun1=1.5) (Jun2=2.5),Freq.,Number (KANJIDIC),JIS,Kana,Joyo ON (* = not common),Joyo On (Kanji),Joyo On (Kana),Joyo Kun (Kanji),Joyo Kun (Kana),Primitive look-up data.,Japan Primitive Look-up,Joyo Kun (* = not common),All Kana,2k1KO Book
々,,"NOMA (repetition marker), beggar, beg, give ",4,0,0,2001,0,0,1,0,2967,5022,カイ    こ.う    ,,,,,,,,,カイ    こ.う    ,4 2k1KO
一,one,one ,1,1,965,1,1,2,10,2,76,306C,イチ    イツ    ひと-    ひと.つ    ,イチ、イツ,"[一度, 一座, 第一];  [一般, 同一, 統一]","[いちど, いちざ, だいいち]; [いっぱん, どういつ, とういつ]",一; 一つ,ひと; ひと.つ,",One,",",ichi,iti,",ひと、ひと-つ,イチ    イツ    ひと-    ひと.つ    Name Readings:  かず    い    いっ    いる    かつ    かづ    てん    はじめ    ひ    ひとつ    まこと    ,1 2k1KO
二,two,two ,2,2,1,2,2,3,10,30,2151,4673,ニ    ジ    ふた    ふた.つ    ふたた.び    ,ニ,"[二番目, 二分, 十二月]","[にばんめ, にぶん, じゅうにがつ]",二; 二つ,ふた; ふた.つ,",two,",",ni,",ふた、ふた-つ,ニ    ジ    ふた    ふた.つ    ふたた.び    Name Readings:  おと    つぐ    にい    は    ふ    ふたつ    ふだ    わ    ,1 2k1KO
三,three,three ,3,3,2,3,3,4,10,25,1050,3B30,サン    ゾウ    み    み.つ    みっ.つ    ,サン,"[三角, 三流, 再三]","[さんかく, さんりゅう, さいさん]",三; 三つ; 三つ,み; み.つ; みっ.つ,",three,",",sann,",み、み-つ、みっ-つ,サン    ゾウ    み    み.つ    みっ.つ    Name Readings:  か    さ    さい    さえ    さぶ    ざ    ざえ    ざぶ    そう    ぞ    ただ    みつ    みん    も    や    ,1 2k1KO
四,four,four ,5,4,967,4,4,6,10,141,1079,3B4D,シ    よ    よ.つ    よっ.つ    よん    ,シ,"[四角, 四季, 四十七士]","[しかく, しき, しじゅうしちし]",四; 四つ; 四つ; 四,よ; よ.つ; よっ.つ; よん,",four,pent in,human legs,",",hitoashi,hitoasi,kunigamae,",よ、よ-つ、よっ-つ、よん,シ    よ    よ.つ    よっ.つ    よん    Name Readings:  あ    つ    よつ    ,1 2k1KO
五,five,five ,4,5,85,5,5,7,10,138,814,385E,ゴ    いつ    いつ.つ    ,ゴ,"[五穀, 五色, 五目飯]","[ごこく, ごしき, ごもくめし]",五; 五つ,いつ; いつ.つ,",five,",",go,",いつ、いつ-つ,ゴ    いつ    いつ.つ    Name Readings:  い    さ    さつ    ち    ふ    み    め    ,1 2k1KO
六,six,six ,4,6,971,6,6,8,10,212,2941,4F3B,ロク    リク    む    む.つ    むっ.つ    むい    ,ロク,"[六月, 六法, 丈六]","[ろくがつ, ろっぽう, たけろく]",六; 六つ; 六つ,む; む.つ; むっ.つ,",six,top hat,animal legs,",",nabebuta,hachi,hati,",む、む-つ、むっ-つ、むい*,ロク    リク    む    む.つ    むっ.つ    むい    Name Readings:  く    むつ    ろっ    ろつ    ,1 2k1KO
七,seven,seven ,2,7,968,7,7,9,10,221,1151,3C37,シチ    なな    なな.つ    なの    ,シチ,"[七五三, 七福神]","[しちごさん, しちふくじん]",七; 七つ,なな; なな.つ,",seven,diced,",",nana,shichi,siti,",なな、なな-つ、なの*,シチ    なな    なな.つ    なの    Name Readings:  し    しっ    な    ひち    ,1 2k1KO
八,eight,eight ,2,8,1159,8,8,10,10,164,2268,482C,ハチ    や    や.つ    やっ.つ    よう    ,ハチ,"[八月, 八方]","[はちがつ, はっぽう]",八; 八つ; 八つ,や; や.つ; やっ.つ,",eight,",",hachi,hati,",や、や-つ、やっ-つ、よう*,ハチ    や    や.つ    やっ.つ    よう    Name Readings:  な    は    はっ    はつ    やち    やつ    T2はちがしら    ,1 2k1KO
九,nine,nine ,2,9,969,9,9,11,10,213,633,3665,キュウ    ク    ここの    ここの.つ    ,キュウ、ク,"[九百, 三拝九拝];  [九分九厘, 九月]","[きゅうひゃく, さんはいきゅうはい]; [くぶくりん, くがつ]",九; 九つ,ここの; ここの.つ,",nine,baseball,",",kyuu,ku,",ここの、ここの-つ,キュウ    ク    ここの    ここの.つ    Name Readings:  いちじく    いちのく    この    ひさし    ,1 2k1KO
十,ten,ten ,2,10,971,10,10,5,10,38,1251,3D3D,ジュウ    ジッ    ジュッ    とお    と    ,ジュウ、ジッ,"[十字架, 十文字];  [十回]","[じゅうじか, じゅうもんじ]; [じゅうかい]",十; 十,と; とお,",ten,needle,",",juu,",とお、と,ジュウ    ジッ    ジュッ    とお    と    Name Readings:  い    か    ぎ    さ    し    そ    そう    ち    とう    ね    ま    る    わ    ,1 2k1KO
百,hundred,hundred ,6,38,550,11,11,16,10,195,2370,4934,ヒャク    ビャク    もも    ,ヒャク,"[百貨店, 百科全書, 数百]","[ひゃっかてん, ひゃっかぜんしょ, すうひゃく]",,,",hundred,one,ceiling,white,dove,",",ichi,iti,shiro,",,ヒャク    ビャク    もも    Name Readings:  お    ど    どう    なり    ひゃっ    ひゅく    も    もんど    ゆ    ,1 2k1KO
千,thousand,thousand ,3,40,4,12,12,17,10,174,1577,4069,セン    ち    ,セン,"[千円, 千人力, 千差万別]","[せんえん, せんにんちから, せんさばんべつ]",千,ち,",thousand,drop,ten,needle,",",tenn,juu,",ち,セン    ち    Name Readings:  かず    ゆき    ,1 2k1KO
万,ten thousand,ten thousand ,3,64,973,13,13,18,9,193,2630,4B7C,マン    バン    よろず    ,マン、バン,"[万一, 万年筆, 巨万];  [万国, 万端, 万全]","[まんいち, まんねんひつ, きょまん]; [ばんこく, ばんたん, ばんぜん]",,,",ten thousand,one,ceiling,bound up,",",ichi,iti,tsutsumigamae,tutumigamae,",,マン    バン    よろず    Name Readings:  かず    ま    ゆる    ,1 2k1KO
億,hundred million,"hundred million, 10**8 ",15,983,854,14,14,622,7,555,203,322F,オク    ,オク,"[億万, 一億]","[おくまん, いちおく]",,,",hundred million,person,idea,sound,vase,stand up,sun,day,heart,",",hito,ninben,kokoro,nichi,jitsu,tatsu,oto,",,オク    Name Readings:  お    ,1 2k1KO
兆,portent,"portent, 10**12, trillion, sign, omen, symptoms ",6,235,1168,15,15,1827,7,1243,1877,437B,チョウ    きざ.す    きざ.し    ,チョウ,"[兆候, 前兆, 億兆]","[ちょうこう, ぜんちょう, おくちょう]",兆し; 兆す,きざ.し; きざ.す,",portent,turtle,portent,",",kizashi,",きざ-す、きざ-し,チョウ    きざ.す    きざ.し    ,1 2k1KO
円,circle,"circle, yen, round ",4,1811,972,16,16,13,10,86,157,315F,エン    まる.い    まる    まど    まど.か    まろ.やか    ,エン,"[円卓, 円熟, 一円]","[えんたく, えんじゅく, いちえん]",円い,まる.い,",circle,yen,",",",まる-い,エン    まる.い    まる    まど    まど.か    まろ.やか    Name Readings:  つぶら    のぶ    まどか    みつ    ,1 2k1KO
時,time,"time, hour ",10,159,970,17,17,383,9,11,1128,3B7E,ジ    とき    -どき    ,ジ,"[時間, 時候, 当時]","[じかん, じこう, とうじ]",時,とき,",time,sun,day,Buddhist temple,soil,dirt,ground,glue,",",tsuchi,tuti,sunn,nichi,jitsu,",とき,ジ    とき    -どき    Name Readings:  と    とぎ    ,1 2k1KO
寺,Buddhist temple,Buddhist temple ,6,158,1433,18,18,382,9,789,1125,3B7B,ジ    てら    ,ジ,"[寺院, 社寺, 末寺]","[じいん, しゃじ, まつてら]",寺,てら,",buddhist temple,soil,dirt,ground,glue,",",tsuchi,tuti,sunn,",てら,ジ    てら    ,1 2k1KO
日,day,"day, sun, Japan ",4,12,561,19,19,1,10,1,2160,467C,ニチ    ジツ    ひ    -び    -か    ,ニチ、ジツ,"[日時, 日光, 毎日];  [連日, 平日, 休日]","[にちじ, にっこう, まいにち]; [れんじつ, へいじつ, きゅうじつ]",日; 日,か; ひ,",day,sun,",",nichi,jitsu,",ひ、か,ニチ    ジツ    ひ    -び    -か    Name Readings:  あ    あき    いる    く    くさ    こう    す    たち    に    にっ    につ    へ    ,1 2k1KO
月,month,"month, moon ",4,13,546,20,20,23,10,12,736,376E,ゲツ    ガツ    つき    ,ゲツ、ガツ,"[月曜, 明月, 歳月];  [正月, 九月]","[げつよう, めいげつ, さいげつ]; [しょうがつ, くがつ]",月,つき,",month,moon,month,flesh,part of the body,",",tsuki,getsu,",つき,ゲツ    ガツ    つき    Name Readings:  おと    がっ    す    ずき    もり    ,1 2k1KO
火,fire,fire ,4,161,976,21,21,26,10,450,236,3250,カ    ひ    -び    ほ-    ,カ,"[火災, 灯火, 発火]","[かさい, とうか, はっか]",火,ひ,",fire,",",hi,renga,rekka,",ひ、ほ*,カ    ひ    -び    ほ-    ,1 2k1KO
水,water,water ,4,130,979,22,22,27,10,163,1479,3F65,スイ    みず    みず-    ,スイ,"[水分, 水陸, 海水]","[すいぶん, すいりく, かいすい]",水,みず,",water,",",mizu,sanzui,",みず,スイ    みず    みず-    Name Readings:  うず    ずみ    つ    ど    み    みさ    みつ    みな    みん    ,1 2k1KO
木,tree,"tree, wood ",4,195,980,23,23,28,10,207,2690,4C5A,ボク    モク    き    こ-    ,ボク、モク,"[木石, 大木, 土木];  [木造, 樹木, 材木]","[ぼくせき, たいぼく, どぼく]; [もくぞう, じゅもく, ざいもく]",木,き,",tree,wood,",",ki,moku,",き、こ*,ボク    モク    き    こ-    Name Readings:  ぐ    も    もと    ,1 2k1KO
